# H0=6.9330e+01 Om0=2.8800e-01 Ob0=4.7200e-02 Ol0=7.1200e-01 | N=2000
# redshift scafa dcom[Mpc] vcom[Mpc3] tlook[Myr] efunc
1.00000000e-05 9.99990000e-01 4.32412823e-02 3.38675908e-04 1.41033495e-01 1.00000432e+00
1.00925754e-05 9.99989908e-01 4.36415892e-02 3.48169144e-04 1.42339108e-01 1.00000436e+00
1.01860077e-05 9.99989814e-01 4.40456019e-02 3.57928481e-04 1.43656808e-01 1.00000440e+00
1.02803051e-05 9.99989720e-01 4.44533548e-02 3.67961375e-04 1.44986706e-01 1.00000444e+00
1.03754754e-05 9.99989625e-01 4.48648824e-02 3.78275496e-04 1.46328916e-01 1.00000448e+00
1.04715267e-05 9.99989529e-01 4.52802197e-02 3.88878726e-04 1.47683551e-01 1.00000452e+00
1.05684673e-05 9.99989432e-01 4.56994020e-02 3.99779169e-04 1.49050727e-01 1.00000457e+00
1.06663052e-05 9.99989334e-01 4.61224649e-02 4.10985156e-04 1.50430559e-01 1.00000461e+00
1.07650489e-05 9.99989235e-01 4.65494443e-02 4.22505252e-04 1.51823164e-01 1.00000465e+00
1.08647068e-05 9.99989135e-01 4.69803765e-02 4.34348261e-04 1.53228662e-01 1.00000469e+00
1.09652872e-05 9.99989035e-01 4.74152980e-02 4.46523234e-04 1.54647170e-01 1.00000474e+00
1.10667987e-05 9.99988933e-01 4.78542458e-02 4.59039477e-04 1.56078811e-01 1.00000478e+00
1.11692500e-05 9.99988831e-01 4.82972571e-02 4.71906555e-04 1.57523705e-01 1.00000483e+00
1.12726497e-05 9.99988727e-01 4.87443696e-02 4.85134303e-04 1.58981974e-01 1.00000487e+00
1.13770067e-05 9.99988623e-01 4.91956213e-02 4.98732830e-04 1.60453744e-01 1.00000491e+00
1.14823298e-05 9.99988518e-01 4.96510504e-02 5.12712530e-04 1.61939138e-01 1.00000496e+00
1.15886278e-05 9.99988412e-01 5.01106956e-02 5.27084086e-04 1.63438283e-01 1.00000501e+00
1.16959100e-05 9.99988304e-01 5.05745960e-02 5.41858483e-04 1.64951306e-01 1.00000505e+00
1.18041853e-05 9.99988196e-01 5.10427910e-02 5.57047013e-04 1.66478336e-01 1.00000510e+00
1.19134630e-05 9.99988087e-01 5.15153203e-02 5.72661283e-04 1.68019502e-01 1.00000515e+00
1.20237523e-05 9.99987976e-01 5.19922240e-02 5.88713227e-04 1.69574935e-01 1.00000519e+00
1.21350626e-05 9.99987865e-01 5.24735426e-02 6.05215114e-04 1.71144767e-01 1.00000524e+00
